n_chaves,linear,quadratica,duplo_hash
100,1,1,1
200,4,4,4
300,11,11,10
400,21,21,20
500,32,32,30
600,43,45,41
700,62,54,50
800,80,74,69
900,106,97,85
1000,135,129,108
1100,165,158,138
1200,191,191,160
1300,221,221,193
1400,254,258,228
1500,295,305,266
1600,346,352,310
1700,411,412,356
1800,461,469,402
1900,533,535,454
2000,620,607,540
2100,701,694,613
2200,817,776,683
2300,941,846,762
2400,1055,945,862
2500,1175,1058,968
2600,1329,1172,1054
2700,1476,1303,1191
2800,1673,1420,1294
2900,1841,1557,1437
3000,2089,1728,1591
3100,2371,1901,1753
3200,2756,2088,1945
3300,3019,2292,2149
3400,3429,2556,2365
3500,3897,2880,2583
3600,4601,3211,2894
3700,5381,3549,3150
3800,6261,3982,3483
3900,7342,4455,3772
4000,8394,4930,4209
4096,9732,5468,4637
